W8,NightmareWGovt_1,NightmareWGovt_2,NightmareWGovt_3,NightmareWGovt_5,NightmareWGovt_6,NightmareWGovt_7,NightmareWGovt_8,NightmareWGovt_9,NightmareWGovt_10,StopReform
.493679996,Yes,No,No,,Yes,,No,No,No,Plaid Cymru
.319437678,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
.410199992,,No,No,No,No,No,No,Yes,No,
.660298843,Yes,,No,No,Yes,No,Yes,No,No,Plaid Cymru
.29083919,No,No,No,No,Yes,,No,No,No,Greens
1.235617357,Yes,No,No,No,Yes,Yes,No,No,No,Labour
.712883267,Yes,Yes,Yes,No,,No,No,No,No,
.673184162,Yes,,,,Yes,,No,No,No,Plaid Cymru
.7324823070000001,No,,No,No,Yes,No,No,No,No,Labour
.563670711,Yes,No,No,No,No,,No,No,No,
.510073781,No,No,,No,Yes,,No,No,No,Plaid Cymru
.457360174,Yes,Yes,No,No,Yes,No,No,No,No,Greens
.621416365,No,No,No,No,No,No,No,No,Yes,
.603507775,No,,No,No,Yes,No,No,No,No,Labour
.93782309,No,No,No,No,No,No,No,No,Yes,
.482341699,No,Yes,Yes,Yes,,Yes,No,No,No,
.667431122,No,,No,No,Yes,No,No,No,No,Plaid Cymru
.909802305,,Yes,Yes,Yes,,Yes,No,No,No,
.464747258,No,Yes,No,,Yes,Yes,No,No,No,Don't know
.944613204,Yes,Yes,No,No,,No,No,No,No,
